日總雨量(毫米) - 天文台
Daily Total Rainfall (mm) at the Hong Kong Observatory
年/Year,月/Month,日/Day,數值/Value,數據完整性/data Completeness
2026,1,1,0.0,C
2026,1,2,0.0,C
2026,1,3,0.0,C
2026,1,4,0.0,C
2026,1,5,0.0,C
2026,1,6,0.0,C
2026,1,7,0.0,C
2026,1,8,0.0,C
2026,1,9,0.0,C
2026,1,10,0.0,C
2026,1,11,0.0,C
2026,1,12,0.0,C
2026,1,13,0.0,C
2026,1,14,0.0,C
2026,1,15,1.0,C
2026,1,16,0.0,C
2026,1,17,0.0,C
2026,1,18,0.0,C
2026,1,19,0.0,C
2026,1,20,0.0,C
2026,1,21,0.0,C
2026,1,22,0.0,C
2026,1,23,0.0,C
2026,1,24,0.0,C
2026,1,25,0.0,C
2026,1,26,0.0,C
2026,1,27,Trace,C
2026,1,28,Trace,C
2026,1,29,0.0,C
2026,1,30,Trace,C
2026,1,31,2.2,C
2026,2,1,1.6,C
2026,2,2,0.0,C
2026,2,3,0.0,C
2026,2,4,0.0,C
2026,2,5,0.0,C
2026,2,6,0.0,C
2026,2,7,Trace,C
2026,2,8,0.1,C
2026,2,9,0.0,C
2026,2,10,0.0,C
2026,2,11,0.0,C
2026,2,12,0.0,C
2026,2,13,0.0,C
2026,2,14,0.0,C
2026,2,15,0.0,C
2026,2,16,0.0,C
2026,2,17,Trace,C
2026,2,18,Trace,C
2026,2,19,Trace,C
2026,2,20,0.0,C
2026,2,21,0.0,C
2026,2,22,0.0,C
2026,2,23,0.0,C
2026,2,24,0.4,C
2026,2,25,Trace,C
2026,2,26,0.2,C
2026,2,27,0.3,C
2026,2,28,39.0,C
2026,3,1,0.1,C
2026,3,2,15.4,C
2026,3,3,68.0,C
2026,3,4,66.0,C
2026,3,5,Trace,C
2026,3,6,0.0,C
2026,3,7,0.0,C
2026,3,8,0.0,C
2026,3,9,Trace,C
2026,3,10,0.1,C
2026,3,11,0.0,C
2026,3,12,0.0,C
2026,3,13,0.0,C
2026,3,14,0.0,C
2026,3,15,0.0,C
2026,3,16,0.0,C
2026,3,17,Trace,C
2026,3,18,0.0,C
2026,3,19,Trace,C
2026,3,20,0.1,C
2026,3,21,0.0,C
2026,3,22,Trace,C
2026,3,23,0.0,C
2026,3,24,0.0,C
2026,3,25,0.0,C
2026,3,26,0.0,C
2026,3,27,1.1,C
2026,3,28,Trace,C
2026,3,29,Trace,C
2026,3,30,3.6,C
2026,3,31,Trace,C
2026,4,1,0.6,C
2026,4,2,0.4,C
2026,4,3,0.0,C
2026,4,4,11.6,C
2026,4,5,45.1,C
2026,4,6,1.1,C
2026,4,7,0.1,C
2026,4,8,1.1,C
2026,4,9,0.0,C
2026,4,10,0.0,C
2026,4,11,0.0,C
2026,4,12,0.0,C
2026,4,13,0.0,C
2026,4,14,0.0,C
2026,4,15,0.0,C
2026,4,16,0.0,C
2026,4,17,19.6,C
2026,4,18,0.0,C
2026,4,19,0.0,C
2026,4,20,0.0,C
2026,4,21,2.5,C
2026,4,22,0.0,C
2026,4,23,0.1,C
2026,4,24,34.0,C
2026,4,25,0.0,C
2026,4,26,0.0,C
2026,4,27,0.0,C
2026,4,28,0.5,C
2026,4,29,43.7,C
2026,4,30,0.0,C
2026,5,1,Trace,C
2026,5,2,Trace,C
2026,5,3,45.4,C
2026,5,4,1.2,C
2026,5,5,28.1,C
2026,5,6,Trace,C
2026,5,7,0.0,C
2026,5,8,0.6,C
2026,5,9,13.0,C
2026,5,10,0.0,C
2026,5,11,0.0,C
2026,5,12,0.0,C
2026,5,13,0.0,C
2026,5,14,5.9,C
2026,5,15,6.5,C
2026,5,16,9.1,C
2026,5,17,4.8,C
2026,5,18,2.3,C
2026,5,19,27.8,C
2026,5,20,3.2,C
2026,5,21,66.1,C
2026,5,22,1.0,C
2026,5,23,0.0,C
2026,5,24,0.0,C
2026,5,25,0.0,C
2026,5,26,0.0,C
2026,5,27,0.0,C
2026,5,28,0.0,C
2026,5,29,12.2,C
2026,5,30,0.0,C
2026,5,31,Trace,C
2026,6,1,Trace,C
2026,6,2,0.0,C
2026,6,3,Trace,C
2026,6,4,0.2,C
2026,6,5,7.5,C
2026,6,6,71.2,C
2026,6,7,10.2,C
2026,6,8,109.7,C
2026,6,9,0.3,C
2026,6,10,0.0,C
2026,6,11,0.4,C
2026,6,12,Trace,C
2026,6,13,27.0,C
2026,6,14,23.4,C
2026,6,15,122.6,C
2026,6,16,119.3,C
2026,6,17,2.6,C
2026,6,18,54.1,C
2026,6,19,2.2,C
2026,6,20,1.1,C
2026,6,21,0.0,C
2026,6,22,0.0,C
2026,6,23,0.0,C
2026,6,24,0.0,C
2026,6,25,Trace,C
2026,6,26,14.8,C
2026,6,27,Trace,C
2026,6,28,11.8,C
2026,6,29,7.2,C
2026,6,30,14.9,C
2026,7,1,Trace,C
2026,7,2,6.0,C
2026,7,3,14.2,C
2026,7,4,12.8,C
2026,7,5,4.5,C
2026,7,6,72.9,C
2026,7,7,66.0,C
2026,7,8,30.8,C
2026,7,9,0.1,C
2026,7,10,3.7,C
2026,7,11,0.0,C
2026,7,12,0.0,C
2026,7,13,0.2,C
2026,7,14,21.7,C
2026,7,15,47.6,C
2026,7,16,86.2,C
2026,7,17,31.4,C
2026,7,18,3.8,C
2026,7,19,Trace,C
2026,7,20,72.8,C
2026,7,21,13.6,C
2026,7,22,0.0,C
2026,7,23,Trace,C
2026,7,24,0.0,C
2026,7,25,3.6,C
2026,7,26,109.2,C
2026,7,27,14.9,C
2026,7,28,46.7,C
2026,7,29,40.8,C
2026,7,30,15.9,C
2026,7,31,70.9,C
2026,8,1,30.5,C
2026,8,2,62.4,C
2026,8,3,31.7,C
2026,8,4,0.0,C
